cidade;cod_cidade;estado;cod_esatado;populacao;renda_domiciliar_per_capita;regiao
Alta Floresta D'Oeste;1100015;RO;11;22853;1717;Norte
Ariquemes;1100023;RO;11;108573;1717;Norte
Cabixi;1100031;RO;11;5690;1717;Norte
Cacoal;1100049;RO;11;97637;1717;Norte
Cerejeiras;1100056;RO;11;16975;1717;Norte
Colorado do Oeste;1100064;RO;11;16588;1717;Norte
Corumbiara;1100072;RO;11;8001;1717;Norte
Costa Marques;1100080;RO;11;13522;1717;Norte
Espigão D'Oeste;1100098;RO;11;32717;1717;Norte
Guajará-Mirim;1100106;RO;11;43553;1717;Norte
Jaru;1100114;RO;11;55583;1717;Norte
Ji-Paraná;1100122;RO;11;139359;1717;Norte
Machadinho D'Oeste;1100130;RO;11;34063;1717;Norte
Nova Brasilândia D'Oeste;1100148;RO;11;16504;1717;Norte
Ouro Preto do Oeste;1100155;RO;11;38681;1717;Norte
Pimenta Bueno;1100189;RO;11;39053;1717;Norte
Porto Velho;1100205;RO;11;514873;1717;Norte
Presidente Médici;1100254;RO;11;20518;1717;Norte
Rio Crespo;1100262;RO;11;3753;1717;Norte
Rolim de Moura;1100288;RO;11;62559;1717;Norte
Santa Luzia D'Oeste;1100296;RO;11;7877;1717;Norte
Vilhena;1100304;RO;11;108528;1717;Norte
São Miguel do Guaporé;1100320;RO;11;22267;1717;Norte
Nova Mamoré;1100338;RO;11;28496;1717;Norte
Alvorada D'Oeste;1100346;RO;11;13837;1717;Norte
Alto Alegre dos Parecis;1100379;RO;11;12263;1717;Norte
Alto Paraíso;1100403;RO;11;17463;1717;Norte
Buritis;1100452;RO;11;30729;1717;Norte
Novo Horizonte do Oeste;1100502;RO;11;8056;1717;Norte
Cacaulândia;1100601;RO;11;4345;1717;Norte
Campo Novo de Rondônia;1100700;RO;11;9225;1717;Norte
Candeias do Jamari;1100809;RO;11;24163;1717;Norte
Castanheiras;1100908;RO;11;3456;1717;Norte
Chupinguaia;1100924;RO;11;10129;1717;Norte
Cujubim;1100940;RO;11;15883;1717;Norte
Governador Jorge Teixeira;1101005;RO;11;8420;1717;Norte
Itapuã do Oeste;1101104;RO;11;9209;1717;Norte
Ministro Andreazza;1101203;RO;11;6657;1717;Norte
Mirante da Serra;1101302;RO;11;9740;1717;Norte
Monte Negro;1101401;RO;11;12241;1717;Norte
Nova União;1101435;RO;11;6577;1717;Norte
Parecis;1101450;RO;11;4390;1717;Norte
Pimenteiras do Oeste;1101468;RO;11;2311;1717;Norte
Primavera de Rondônia;1101476;RO;11;3279;1717;Norte
São Felipe D'Oeste;1101484;RO;11;5605;1717;Norte
São Francisco do Guaporé;1101492;RO;11;17511;1717;Norte
Seringueiras;1101500;RO;11;12954;1717;Norte
Teixeirópolis;1101559;RO;11;4536;1717;Norte
Theobroma;1101609;RO;11;8540;1717;Norte
Urupá;1101708;RO;11;11377;1717;Norte
Vale do Anari;1101757;RO;11;8265;1717;Norte
Vale do Paraíso;1101807;RO;11;6843;1717;Norte
Acrelândia;1200013;AC;12;14657;1271;Norte
Assis Brasil;1200054;AC;12;8573;1271;Norte
Brasiléia;1200104;AC;12;27841;1271;Norte
Bujari;1200138;AC;12;13766;1271;Norte
Capixaba;1200179;AC;12;10922;1271;Norte
Cruzeiro do Sul;1200203;AC;12;98382;1271;Norte
Epitaciolândia;1200252;AC;12;19739;1271;Norte
Feijó;1200302;AC;12;37644;1271;Norte
Jordão;1200328;AC;12;9787;1271;Norte
Mâncio Lima;1200336;AC;12;20329;1271;Norte
Manoel Urbano;1200344;AC;12;12776;1271;Norte
Marechal Thaumaturgo;1200351;AC;12;17951;1271;Norte
Plácido de Castro;1200385;AC;12;17127;1271;Norte
Porto Walter;1200393;AC;12;11275;1271;Norte
Rio Branco;1200401;AC;12;387852;1271;Norte
Rodrigues Alves;1200427;AC;12;15537;1271;Norte
Santa Rosa do Purus;1200435;AC;12;7143;1271;Norte
Senador Guiomard;1200450;AC;12;22352;1271;Norte
Sena Madureira;1200500;AC;12;43916;1271;Norte
Tarauacá;1200609;AC;12;46517;1271;Norte
Xapuri;1200708;AC;12;19090;1271;Norte
Porto Acre;1200807;AC;12;17455;1271;Norte
Alvarães;1300029;AM;13;16670;1238;Norte
Amaturá;1300060;AM;13;11411;1238;Norte
Anamã;1300086;AM;13;10318;1238;Norte
Anori;1300102;AM;13;17932;1238;Norte
Apuí;1300144;AM;13;21735;1238;Norte
Atalaia do Norte;1300201;AM;13;15892;1238;Norte
Autazes;1300300;AM;13;45328;1238;Norte
Barcelos;1300409;AM;13;18626;1238;Norte
Barreirinha;1300508;AM;13;33436;1238;Norte
Benjamin Constant;1300607;AM;13;40509;1238;Norte
Beruri;1300631;AM;13;22136;1238;Norte
Boa Vista do Ramos;1300680;AM;13;25769;1238;Norte
Boca do Acre;1300706;AM;13;38246;1238;Norte
Borba;1300805;AM;13;34879;1238;Norte
Caapiranga;1300839;AM;13;14310;1238;Norte
Canutama;1300904;AM;13;17885;1238;Norte
Carauari;1301001;AM;13;30892;1238;Norte
Careiro;1301100;AM;13;32442;1238;Norte
Careiro da Várzea;1301159;AM;13;19809;1238;Norte
Coari;1301209;AM;13;73820;1238;Norte
Codajás;1301308;AM;13;24451;1238;Norte
Eirunepé;1301407;AM;13;35534;1238;Norte
Envira;1301506;AM;13;17920;1238;Norte
Fonte Boa;1301605;AM;13;27875;1238;Norte
Guajará;1301654;AM;13;14332;1238;Norte
Humaitá;1301704;AM;13;62312;1238;Norte
Ipixuna;1301803;AM;13;25458;1238;Norte
Iranduba;1301852;AM;13;67114;1238;Norte
Itacoatiara;1301902;AM;13;112520;1238;Norte
Itamarati;1301951;AM;13;11730;1238;Norte
Itapiranga;1302009;AM;13;10805;1238;Norte
Japurá;1302108;AM;13;9397;1238;Norte
Juruá;1302207;AM;13;11152;1238;Norte
Jutaí;1302306;AM;13;27656;1238;Norte
Lábrea;1302405;AM;13;48927;1238;Norte
Manacapuru;1302504;AM;13;110691;1238;Norte
Manaquiri;1302553;AM;13;17009;1238;Norte
Manaus;1302603;AM;13;2279686;1238;Norte
Manicoré;1302702;AM;13;57758;1238;Norte
Maraã;1302801;AM;13;15843;1238;Norte
Maués;1302900;AM;13;65714;1238;Norte
